customer_id,signup_date,signup_quarter,region,segment,plan,billing_cycle,acquisition_channel,engagement_score,monthly_price_usd,churn_month,churn_reason,risk_at_month_3,risk_at_month_12,status_month_3,status_month_12,months_billed,observed_revenue_12m_usd
RC-00001,2024-12-22,Q4 2024,Europe,Individual,Premium,Monthly,Paid Search,0.489,49,,,False,False,Active,Active,12,588
RC-00002,2024-04-25,Q2 2024,North America,Freelancer,Basic,Monthly,Organic,0.786,15,,,False,False,Active,Active,12,180
RC-00003,2024-05-09,Q2 2024,Asia-Pacific,Small Business,Premium,Monthly,Social,0.648,49,,,False,False,Active,Active,12,588
RC-00004,2024-11-05,Q4 2024,North America,Individual,Basic,Monthly,Referral,0.212,15,,,True,True,At risk,At risk,12,180
RC-00005,2024-08-15,Q3 2024,Europe,Individual,Enterprise,Annual,Social,0.766,75.65,,,False,False,Active,Renewed,12,907.8
RC-00006,2024-12-10,Q4 2024,Asia-Pacific,Small Business,Premium,Annual,Organic,0.79,41.65,,,False,False,Active,Renewed,12,499.8
RC-00007,2024-07-27,Q3 2024,North America,Small Business,Basic,Monthly,Referral,0.5,15,,,True,False,At risk,Active,12,180
RC-00008,2024-11-27,Q4 2024,Asia-Pacific,Individual,Basic,Annual,Paid Search,0.74,12.75,,,False,False,Active,Renewed,12,153.0
RC-00009,2024-11-13,Q4 2024,North America,Individual,Standard,Monthly,Organic,0.518,29,,,False,False,Active,Active,12,348
RC-00010,2024-07-03,Q3 2024,Asia-Pacific,Individual,Premium,Annual,Referral,0.181,41.65,,,True,True,At risk,At risk,12,499.8
RC-00011,2024-11-12,Q4 2024,Europe,Small Business,Standard,Monthly,Paid Search,0.389,29,,,False,False,Active,Active,12,348
RC-00012,2024-12-24,Q4 2024,Other,Individual,Standard,Annual,Referral,0.722,24.65,12,Price,False,False,Active,Churned,12,295.8
RC-00013,2024-05-06,Q2 2024,North America,Individual,Basic,Monthly,Paid Search,0.759,15,,,False,False,Active,Active,12,180
RC-00014,2024-12-06,Q4 2024,North America,Individual,Basic,Monthly,Organic,0.204,15,,,True,True,At risk,At risk,12,180
RC-00015,2024-05-23,Q2 2024,Other,Individual,Standard,Monthly,Paid Search,0.595,29,8,Price,False,False,Active,Churned,8,232
RC-00016,2024-02-19,Q1 2024,Asia-Pacific,Freelancer,Standard,Annual,Social,0.648,24.65,,,False,False,Active,Renewed,12,295.8
RC-00017,2024-01-08,Q1 2024,Other,Small Business,Premium,Monthly,Social,0.87,49,3,Low usage,False,False,Churned,Churned,3,147
RC-00018,2024-08-02,Q3 2024,North America,Freelancer,Standard,Monthly,Social,0.1,29,10,Price,True,False,At risk,Churned,10,290
RC-00019,2024-08-20,Q3 2024,North America,Individual,Standard,Monthly,Referral,0.637,29,,,False,False,Active,Active,12,348
RC-00020,2024-03-03,Q1 2024,North America,Team,Premium,Monthly,Referral,0.618,49,,,False,False,Active,Active,12,588
RC-00021,2024-05-16,Q2 2024,Other,Freelancer,Standard,Monthly,Social,0.41,29,,,False,False,Active,Active,12,348
RC-00022,2024-07-23,Q3 2024,North America,Individual,Premium,Monthly,Organic,0.299,49,,,True,True,At risk,At risk,12,588
RC-00023,2024-03-19,Q1 2024,Europe,Individual,Basic,Monthly,Referral,0.831,15,,,False,False,Active,Active,12,180
RC-00024,2024-12-04,Q4 2024,Europe,Team,Standard,Monthly,Paid Search,0.758,29,,,False,False,Active,Active,12,348
RC-00025,2024-10-08,Q4 2024,Asia-Pacific,Freelancer,Basic,Monthly,Social,0.579,15,,,False,False,Active,Active,12,180
RC-00026,2024-11-16,Q4 2024,North America,Individual,Enterprise,Annual,Referral,0.375,75.65,,,False,False,Active,Renewed,12,907.8
RC-00027,2024-12-05,Q4 2024,Europe,Individual,Premium,Monthly,Organic,0.358,49,1,Changed needs,False,False,Churned,Churned,1,49
RC-00028,2024-12-17,Q4 2024,North America,Individual,Basic,Monthly,Organic,0.556,15,,,False,False,Active,Active,12,180
RC-00029,2024-09-11,Q3 2024,North America,Individual,Premium,Monthly,Organic,0.37,49,,,False,True,Active,At risk,12,588
RC-00030,2024-08-05,Q3 2024,Asia-Pacific,Freelancer,Standard,Monthly,Referral,0.861,29,,,False,False,Active,Active,12,348
RC-00031,2024-11-01,Q4 2024,North America,Freelancer,Standard,Monthly,Paid Search,0.839,29,9,Alternative,False,False,Active,Churned,9,261
RC-00032,2024-01-18,Q1 2024,Europe,Individual,Standard,Monthly,Social,0.88,29,12,Product experience,False,False,Active,Churned,12,348
RC-00033,2024-04-27,Q2 2024,Asia-Pacific,Freelancer,Standard,Annual,Paid Search,0.64,24.65,,,False,False,Active,Renewed,12,295.8
RC-00034,2024-02-26,Q1 2024,North America,Small Business,Standard,Monthly,Organic,0.62,29,,,False,True,Active,At risk,12,348
RC-00035,2024-11-04,Q4 2024,Asia-Pacific,Freelancer,Standard,Annual,Organic,0.938,24.65,,,False,False,Active,Renewed,12,295.8
RC-00036,2024-08-14,Q3 2024,North America,Individual,Enterprise,Monthly,Organic,0.717,89,,,False,False,Active,Active,12,1068
RC-00037,2024-02-21,Q1 2024,Europe,Freelancer,Basic,Monthly,Paid Search,0.481,15,1,Alternative,False,False,Churned,Churned,1,15
RC-00038,2024-08-17,Q3 2024,Europe,Small Business,Standard,Monthly,Referral,0.253,29,,,True,True,At risk,At risk,12,348
RC-00039,2024-05-06,Q2 2024,Asia-Pacific,Freelancer,Standard,Monthly,Paid Search,0.477,29,,,False,False,Active,Active,12,348
RC-00040,2024-10-07,Q4 2024,Europe,Small Business,Standard,Monthly,Paid Search,0.247,29,2,Product experience,False,False,Churned,Churned,2,58
RC-00041,2024-11-01,Q4 2024,Europe,Individual,Basic,Annual,Paid Search,0.402,12.75,,,False,False,Active,Renewed,12,153.0
RC-00042,2024-03-21,Q1 2024,Asia-Pacific,Team,Standard,Annual,Paid Search,0.374,24.65,,,False,False,Active,Renewed,12,295.8
RC-00043,2024-10-05,Q4 2024,Europe,Team,Standard,Annual,Social,0.514,24.65,1,Price,False,False,Churned,Churned,1,24.65
RC-00044,2024-09-19,Q3 2024,Europe,Individual,Standard,Monthly,Paid Search,0.486,29,,,False,False,Active,Active,12,348
RC-00045,2024-10-19,Q4 2024,North America,Team,Premium,Monthly,Partner,0.613,49,,,False,False,Active,Active,12,588
RC-00046,2024-06-20,Q2 2024,North America,Team,Basic,Monthly,Organic,0.626,15,2,Price,False,False,Churned,Churned,2,30
RC-00047,2024-03-16,Q1 2024,Europe,Individual,Standard,Monthly,Social,0.718,29,,,False,False,Active,Active,12,348
RC-00048,2024-04-10,Q2 2024,Europe,Small Business,Basic,Monthly,Social,0.598,15,1,Product experience,False,False,Churned,Churned,1,15
RC-00049,2024-05-27,Q2 2024,Europe,Small Business,Standard,Annual,Organic,0.407,24.65,,,False,False,Active,Renewed,12,295.8
RC-00050,2024-05-27,Q2 2024,Other,Freelancer,Standard,Annual,Referral,0.894,24.65,,,False,False,Active,Renewed,12,295.8
RC-00051,2024-06-15,Q2 2024,Asia-Pacific,Individual,Basic,Monthly,Organic,0.799,15,,,False,False,Active,Active,12,180
RC-00052,2024-10-10,Q4 2024,North America,Individual,Standard,Monthly,Organic,0.51,29,,,False,False,Active,Active,12,348
RC-00053,2024-06-10,Q2 2024,Europe,Small Business,Standard,Monthly,Organic,0.674,29,,,False,False,Active,Active,12,348
RC-00054,2024-09-13,Q3 2024,North America,Freelancer,Enterprise,Annual,Paid Search,0.374,75.65,12,Product experience,False,False,Active,Churned,12,907.8
RC-00055,2024-06-21,Q2 2024,North America,Small Business,Basic,Monthly,Partner,0.925,15,9,Payment issue,False,False,Active,Churned,9,135
